"","Reporter","Year","FAOGroup","FMI_Imp1"
"438","Bolivia",2017,"Aquatic animals nei",0.563158416007614
"439","Bolivia",2017,"Cephalopods",0.600523884755348
"440","Bolivia",2017,"Crustaceans",0.561292560640194
"441","Bolivia",2017,"Demersal fish",0.662371097344406
"442","Bolivia",2017,"Freshwater & diadromous fish",0.475453882329416
"443","Bolivia",2017,"Marine fish nei",0.511805300936135
"444","Bolivia",2017,"Molluscs excl. cephalopods",0.566528930881658
"445","Bolivia",2017,"Pelagic fish",0.532479187939514
"446","Bosnia & Herzegovina",2016,"Aquatic animals nei",0.534371634616521
"447","Bosnia & Herzegovina",2016,"Cephalopods",0.651552774381577
"448","Bosnia & Herzegovina",2016,"Crustaceans",0.478514925095109
"449","Bosnia & Herzegovina",2016,"Demersal fish",0.652746059390649
"450","Bosnia & Herzegovina",2016,"Freshwater & diadromous fish",0.451467431200383
"451","Bosnia & Herzegovina",2016,"Marine fish nei",0.525001768847934
"452","Bosnia & Herzegovina",2016,"Molluscs excl. cephalopods",0.523935211728178
"453","Bosnia & Herzegovina",2016,"Pelagic fish",0.551055735522055
"454","Bosnia & Herzegovina",2017,"Aquatic animals nei",0.521689399303472
"455","Bosnia & Herzegovina",2017,"Cephalopods",0.612590493492022
"456","Bosnia & Herzegovina",2017,"Crustaceans",0.468268588908049
"457","Bosnia & Herzegovina",2017,"Demersal fish",0.658340566746667
"458","Bosnia & Herzegovina",2017,"Freshwater & diadromous fish",0.457168438685108
"459","Bosnia & Herzegovina",2017,"Marine fish nei",0.539188062714708
"460","Bosnia & Herzegovina",2017,"Molluscs excl. cephalopods",0.554003045089155
"461","Bosnia & Herzegovina",2017,"Pelagic fish",0.546159534444335
"462","Botswana",2012,"Aquatic animals nei",0.603273538169888
"463","Botswana",2012,"Cephalopods",0.58943865420584
"464","Botswana",2012,"Crustaceans",0.599800268624801
"465","Botswana",2012,"Demersal fish",0.708230689964469
"466","Botswana",2012,"Freshwater & diadromous fish",0.603152376231627
"467","Botswana",2012,"Marine fish nei",0.588266770173431
"468","Botswana",2012,"Molluscs excl. cephalopods",0.613281937404437
"469","Botswana",2012,"Pelagic fish",0.683983788037103
